method,true_state,predicted_state,count
Base,Insufficient,Insufficient,2
Base,Insufficient,Supported,6
Base,Invalid,Insufficient,3
Base,Invalid,Supported,5
Base,Refuted,Insufficient,3
Base,Refuted,Supported,5
Base,Supported,Supported,8
GRPO-FourState,Insufficient,Insufficient,6
GRPO-FourState,Insufficient,Supported,2
GRPO-FourState,Invalid,Invalid,4
GRPO-FourState,Invalid,Supported,4
GRPO-FourState,Refuted,Refuted,2
GRPO-FourState,Refuted,Supported,6
GRPO-FourState,Supported,Supported,8
PESCO-Full,Insufficient,Insufficient,7
PESCO-Full,Insufficient,Refuted,1
PESCO-Full,Invalid,Invalid,7
PESCO-Full,Invalid,Refuted,1
PESCO-Full,Refuted,Refuted,8
PESCO-Full,Supported,Invalid,1
PESCO-Full,Supported,Supported,7
PESCO-Offline,Insufficient,Insufficient,8
PESCO-Offline,Invalid,Insufficient,1
PESCO-Offline,Invalid,Invalid,7
PESCO-Offline,Refuted,Insufficient,1
PESCO-Offline,Refuted,Refuted,7
PESCO-Offline,Supported,Supported,8
